ID,Activity_Name,Expected_Start_Date,Contractor_Name,Region,Complexity_Level
1,تركيب الواجهات الزجاجية,2024-04-09,شركة الفوزان للتجارة والمقاولات,المنطقة الشرقية,Medium
2,أعمال التكييف المركزي,2023-11-21,شركة المباني,المنطقة الشرقية,Medium
3,اللياسة الخارجية,2024-04-25,شركة الخضري للمقاولات,الجوف,High
4,اللياسة الخارجية,2024-02-06,مؤسسة بن سمار للمقاولات,القصيم,High
5,تركيب أنظمة الحريق,2022-12-24,شركة الخضري للمقاولات,الباحة,Low
6,بناء جدران القبو,2023-01-30,شركة الكفاح للمقاولات,جازان,High
7,صب سقف الدور الأرضي,2022-05-31,شركة المباني,جازان,Medium
8,تركيب الأدوات الصحية,2024-12-17,شركة الكفاح للمقاولات,القصيم,Medium
9,أعمال اللاندسكيب والتشجير,2023-01-07,شركة روشن العقارية,مكة المكرمة,Low
10,أعمال الديكور والجبس,2023-06-03,شركة المقاولون العرب,الرياض,Medium
11,تأسيس السباكة والكهرباء,2022-03-02,شركة أرامكو السعودية (إشراف/تنفيذ),نجران,Low
12,أعمال الدهانات الأولية,2022-05-30,شركة الكفاح للمقاولات,الرياض,Low
13,صب الخرسانة المسلحة للقواعد,2023-11-30,شركة الكفاح للمقاولات,عسير,Medium
14,أعمال المباني (الطوب),2023-01-25,شركة دريك آند سكل,المنطقة الشرقية,Low
15,أعمال المباني (الطوب),2024-09-05,شركة الفنار,الجوف,Medium
16,تركيب أنظمة الحريق,2022-07-17,شركة جرير للمقاولات,تبوك,Low
17,تركيب المصاعد,2022-07-22,مؤسسة بن سمار للمقاولات,القصيم,Medium
18,صب أعمدة الدور الأرضي,2023-08-19,شركة السيف للمقاولات الهندسية,نجران,High
19,صب الخرسانة المسلحة للقواعد,2024-04-30,شركة الكفاح للمقاولات,الجوف,Medium
20,تبليط الحوش والأسوار,2022-12-26,شركة الفنار,الجوف,High
21,صب سقف الدور الأرضي,2024-11-14,شركة جرير للمقاولات,نجران,High
22,أعمال العزل المائي للسطح,2024-03-13,شركة روشن العقارية,القصيم,High
23,تركيب أنظمة الحريق,2024-03-31,شركة الكفاح للمقاولات,القصيم,Low
24,صب الخرسانة المسلحة للقواعد,2023-02-16,شركة روشن العقارية,القصيم,High
25,صب الخرسانة العادية للأساسات,2023-04-29,شركة دريك آند سكل,نجران,Medium
26,بناء جدران القبو,2024-07-22,شركة العيوني للاستثمار والمقاولات,الرياض,High
27,أعمال الحفر والردم,2024-02-20,شركة روشن العقارية,مكة المكرمة,Medium
28,تركيب المصاعد,2023-03-15,شركة المباني,نجران,Medium
29,اللياسة الداخلية,2024-03-08,شركة البحر الأحمر الدولية,حائل,High
30,تركيب النوافذ والأبواب,2023-01-07,شركة الخضري للمقاولات,الرياض,High
31,أعمال الحفر والردم,2023-11-24,مجموعة بن لادن السعودية,المدينة المنورة,High
32,تركيب البلاط والرخام,2023-10-09,شركة السيف للمقاولات الهندسية,حائل,Medium
33,تركيب أنظمة الحريق,2022-04-14,شركة الفوزان للتجارة والمقاولات,الباحة,Medium
34,اللياسة الداخلية,2023-09-28,شركة جرير للمقاولات,عسير,Medium
35,أعمال التكييف المركزي,2023-10-23,شركة جرير للمقاولات,مكة المكرمة,Medium
36,تركيب المصاعد,2023-09-13,مجموعة بن لادن السعودية,مكة المكرمة,High
37,تركيب المصاعد,2024-04-04,مجموعة بن لادن السعودية,الجوف,Medium
38,بناء جدران القبو,2022-11-06,شركة راشد الراشد,جازان,High
39,تأسيس السباكة والكهرباء,2022-05-29,شركة المباني,المدينة المنورة,Medium
40,تركيب المصاعد,2022-12-18,شركة الكفاح للمقاولات,عسير,Low
41,تأسيس السباكة والكهرباء,2022-08-08,شركة جرير للمقاولات,الجوف,High
42,تركيب أنظمة الحريق,2023-02-25,شركة البحر الأحمر الدولية,نجران,Medium
43,أعمال الدهانات الأولية,2024-07-20,شركة الخضري للمقاولات,المدينة المنورة,Medium
44,أعمال المباني (الطوب),2023-04-10,شركة الفوزان للتجارة والمقاولات,المدينة المنورة,Medium
45,تركيب البلاط والرخام,2024-07-28,مؤسسة بن سمار للمقاولات,تبوك,Low
46,اللياسة الداخلية,2023-04-28,شركة دريك آند سكل,عسير,Medium
47,تركيب المصاعد,2023-01-09,شركة شابورجي بالونجي,تبوك,Medium
48,تبليط الحوش والأسوار,2023-11-15,شركة جرير للمقاولات,جازان,Low
49,أعمال اللاندسكيب والتشجير,2024-11-09,شركة أرامكو السعودية (إشراف/تنفيذ),الرياض,Medium
50,اللياسة الخارجية,2023-10-02,شركة نسما للمقاولات,الحدود الشمالية,Low
51,أعمال العزل المائي للسطح,2022-04-29,شركة البحر الأحمر الدولية,نجران,High
52,أعمال الحفر والردم,2022-06-01,شركة المقاولون العرب,القصيم,Low
53,اللياسة الداخلية,2023-04-01,شركة جرير للمقاولات,عسير,Medium
54,الدهانات النهائية,2022-05-14,شركة شابورجي بالونجي,حائل,Low
55,تركيب البلاط والرخام,2023-11-24,شركة الفوزان للتجارة والمقاولات,المدينة المنورة,Low
56,تركيب المصاعد,2023-08-11,شركة البحر الأحمر الدولية,الرياض,Medium
57,أعمال الديكور والجبس,2023-04-21,شركة العيوني للاستثمار والمقاولات,المنطقة الشرقية,Medium
58,أعمال التكييف المركزي,2024-04-15,شركة الفوزان للتجارة والمقاولات,القصيم,Medium
59,تركيب أنظمة الحريق,2022-03-15,شركة السيف للمقاولات الهندسية,الرياض,Low
60,أعمال التكييف المركزي,2023-03-31,شركة المباني,المنطقة الشرقية,High
61,الدهانات النهائية,2023-01-07,مؤسسة بن سمار للمقاولات,الجوف,Medium
62,صب سقف الدور الأرضي,2023-11-21,شركة العيوني للاستثمار والمقاولات,مكة المكرمة,Medium
63,تركيب النوافذ والأبواب,2022-04-06,شركة جرير للمقاولات,حائل,High
64,تركيب الواجهات الزجاجية,2022-02-28,شركة نسما للمقاولات,مكة المكرمة,Medium
65,تركيب البلاط والرخام,2024-08-02,شركة الخضري للمقاولات,المنطقة الشرقية,Medium
66,صب الخرسانة المسلحة للقواعد,2024-08-13,شركة البحر الأحمر الدولية,حائل,Medium
67,أعمال الحفر والردم,2023-07-27,مؤسسة بن سمار للمقاولات,حائل,Low
68,صب الخرسانة المسلحة للقواعد,2023-08-29,شركة روشن العقارية,الجوف,Medium
69,تبليط الحوش والأسوار,2024-07-18,شركة نسما للمقاولات,نجران,Medium
70,تركيب الأدوات الصحية,2023-06-03,شركة راشد الراشد,الحدود الشمالية,High
71,عزل القواعد والرقاب,2023-03-31,شركة الكفاح للمقاولات,المدينة المنورة,High
72,تركيب الأدوات الصحية,2022-08-10,شركة الفنار,الجوف,Low
73,أعمال التكييف المركزي,2024-08-16,مؤسسة بن سمار للمقاولات,الحدود الشمالية,Medium
74,أعمال الدهانات الأولية,2024-06-15,شركة العيوني للاستثمار والمقاولات,الرياض,Medium
75,أعمال العزل المائي للسطح,2023-07-26,شركة دريك آند سكل,الرياض,Low
76,أعمال الحفر والردم,2023-03-27,شركة الخضري للمقاولات,المنطقة الشرقية,Low
77,الدهانات النهائية,2024-05-16,شركة جرير للمقاولات,مكة المكرمة,Low
78,تركيب النوافذ والأبواب,2024-12-09,شركة روشن العقارية,الرياض,Medium
79,أعمال المباني (الطوب),2024-12-27,شركة المقاولون العرب,الجوف,Low
80,بناء جدران القبو,2024-05-23,مؤسسة بن سمار للمقاولات,المدينة المنورة,Medium
81,تبليط الحوش والأسوار,2024-12-09,شركة نسما للمقاولات,المنطقة الشرقية,High
82,اللياسة الداخلية,2024-06-29,شركة روشن العقارية,الرياض,High
83,أعمال الديكور والجبس,2024-09-27,مؤسسة بن سمار للمقاولات,عسير,High
84,تركيب الأدوات الصحية,2023-07-15,مجموعة بن لادن السعودية,مكة المكرمة,Low
85,اللياسة الخارجية,2024-06-23,شركة روشن العقارية,جازان,High
86,تبليط الحوش والأسوار,2022-11-26,شركة نسما للمقاولات,الرياض,Low
87,اللياسة الخارجية,2023-04-03,شركة السيف للمقاولات الهندسية,مكة المكرمة,Low
88,تركيب البلاط والرخام,2022-03-24,شركة السيف للمقاولات الهندسية,الباحة,Low
89,صب الخرسانة العادية للأساسات,2023-07-23,شركة راشد الراشد,الباحة,High
90,أعمال التكييف المركزي,2024-01-17,شركة الفوزان للتجارة والمقاولات,جازان,Medium
91,اللياسة الخارجية,2022-08-30,شركة دريك آند سكل,القصيم,Low
92,عزل القواعد والرقاب,2023-01-31,شركة شابورجي بالونجي,جازان,Low
93,تركيب الأدوات الصحية,2023-10-05,شركة المقاولون العرب,القصيم,Low
94,تبليط الحوش والأسوار,2022-08-31,شركة المباني,حائل,Low
95,اللياسة الداخلية,2023-08-28,شركة الفوزان للتجارة والمقاولات,عسير,Medium
96,صب الخرسانة العادية للأساسات,2022-05-03,شركة الفوزان للتجارة والمقاولات,تبوك,High
97,أعمال المباني (الطوب),2024-05-16,شركة دريك آند سكل,نجران,Low
98,تبليط الحوش والأسوار,2023-07-18,شركة الخضري للمقاولات,تبوك,Medium
99,أعمال المباني (الطوب),2024-01-23,شركة الفنار,حائل,Medium
100,تركيب أنظمة الحريق,2024-02-06,شركة جرير للمقاولات,مكة المكرمة,Low
101,أعمال الدهانات الأولية,2023-09-16,شركة راشد الراشد,جازان,Low
102,أعمال الديكور والجبس,2024-10-16,شركة البحر الأحمر الدولية,جازان,Medium
103,أعمال الدهانات الأولية,2023-07-20,شركة شابورجي بالونجي,تبوك,Medium
104,أعمال الحفر والردم,2024-01-30,شركة أرامكو السعودية (إشراف/تنفيذ),تبوك,High
105,عزل القواعد والرقاب,2024-02-17,شركة المباني,الرياض,Medium
106,أعمال التكييف المركزي,2023-07-12,شركة البحر الأحمر الدولية,الباحة,Medium
107,عزل القواعد والرقاب,2022-12-16,مجموعة بن لادن السعودية,مكة المكرمة,High
108,تركيب الأدوات الصحية,2024-02-29,شركة أرامكو السعودية (إشراف/تنفيذ),القصيم,Medium
109,صب الخرسانة العادية للأساسات,2023-02-03,شركة السيف للمقاولات الهندسية,مكة المكرمة,High
110,تركيب النوافذ والأبواب,2024-06-05,شركة الفوزان للتجارة والمقاولات,عسير,Medium
111,اللياسة الداخلية,2024-02-25,شركة شابورجي بالونجي,تبوك,Medium
112,تبليط الحوش والأسوار,2022-06-15,شركة روشن العقارية,حائل,Low
113,أعمال التكييف المركزي,2023-11-21,شركة روشن العقارية,الباحة,High
114,عزل القواعد والرقاب,2024-02-18,شركة السيف للمقاولات الهندسية,الحدود الشمالية,Medium
115,صب الخرسانة العادية للأساسات,2024-09-12,شركة راشد الراشد,حائل,High
